"User","Informazioni cronologiche","Do you agree?","How do you rate your knowledge about Graphs and Graph Databases?","How do you rate your knowledge about Star Wars?","How would you repair this violation ?","How hard was it ?","Why","How would you repair this violation ?","How hard was it ?","Why","How would you repair this violation ?","How hard was it ?","Why","How would you repair this violation ?","How hard was it ?","Why","How would you repair this violation ?","How hard was it ?","Why","How would you repair this violation ?","How hard was it ?","Why"
"1","2025/05/15 8:20:19 PM EEST","Accept","10","10","Change the height of the starship to 2150","5","I Knew the answer","Change FILM_ID in the edge KILLED to 2","1","All the information was in the graph","Change FILM_ID in the edge KILLED to 4","1","All the information was in the graph","Delete the edge DIED","4","I Knew the answer","Delete the edge APPEARS IN","3","I Knew the answer","Delete the edge APPEARS IN","3","I Knew the answer"
"2","2025/05/15 8:49:56 PM EEST","Accept","1","1","Delete the edge PILOT","3","A bit convoluted the question, but still comprehensible","Delete the edge KILLED","5","Too much information","Delete the edge DIED","3","I didn't know the answer","Change the in universe year of Film to 34","5","I didn't know the answer","Delete the edge APPEARS IN","5","I didn't know the answer","Delete the edge APPEARS IN","5","I didn't know the answer"
"3","2025/05/15 9:40:45 PM EEST","Accept","9","10","Change the height of the starship to 3000","8","Too much information;I didn't know the answer","Change FILM_ID in the edge KILLED to 2","3","All the information was in the graph","Change FILM_ID in the edge KILLED to 4","5","All the information was in the graph","Change the in universe year of Film to 34","4","I didn't know the answer","Change the year of death of Character to 4","5","I didn't know the answer","Change the year of death of Character to 4","5","I didn't know the answer"
"4","2025/05/15 10:33:43 PM EEST","Accept","2","10","Change the height of the starship to 2200","6","I didn't know the answer","Change FILM_ID in the edge KILLED to 2","1","I Knew the answer","Change FILM_ID in the edge KILLED to 4","1","I Knew the answer","Delete the edge DIED","5","Too much information;I didn't know the answer","Delete the edge APPEARS IN","1","I Knew the answer","Delete the edge APPEARS IN","1","I Knew the answer"
"5","2025/05/16 1:03:33 AM EEST","Accept","2","9","Change the average height of the species to 20","8","Too much information","Change FILM_ID in the edge KILLED to 2","7","Too much information","Change FILM_ID in the edge KILLED to 4","2","I Knew the answer","Delete the edge DIED","4","All the information was in the graph;","Delete the edge APPEARS IN","7","All the information was in the graph","Change the year of death of Character to 4","5","All the information was in the graph"
"6","2025/05/16 10:31:38 AM EEST","Accept","10","10","Delete the edge PILOT","5","All the information was in the graph","Change FILM_ID in the edge KILLED to 2","5","All the information was in the graph","Change FILM_ID in the edge KILLED to 4","3","All the information was in the graph","Delete the edge DIED","1","I Knew the answer;All the information was in the graph","Delete the edge APPEARS IN","1","I Knew the answer;All the information was in the graph","Delete the edge APPEARS IN","1","I Knew the answer;All the information was in the graph"
"7","2025/05/16 11:09:35 AM EEST","Accept","7","7","Delete the edge PILOT","7","I didn't know the answer","Delete the edge DIED","4","I Knew the answer","Change FILM_ID in the edge KILLED to 4","3","I Knew the answer","Delete the edge DIED","3","All the information was in the graph","Delete the edge APPEARS IN","4","I Knew the answer","Delete the edge APPEARS IN","3","I Knew the answer"
"8","2025/05/16 11:17:03 AM EEST","Accept","10","8","Delete the edge PILOT","5","All the information was in the graph","Change FILM_ID in the edge KILLED to 2","5","All the information was in the graph","Delete the edge KILLED","6","All the information was in the graph","Change the year of death of Character to 4","8","the movie time and the narrative time were confusing","No idea","10","I didn't know the answer;this is the hardest because movies allow anything...IDK","IDK","10","I didn't know the answer;this is the hardest because movies allow anything...IDK"
"9","2025/05/16 2:00:17 PM EEST","Accept","10","10","Change the average height of the species to 18","1","All the information was in the graph","Change FILM_ID in the edge KILLED to 2","1","I Knew the answer","Change FILM_ID in the edge KILLED to 4","1","I Knew the answer","Delete the edge DIED","3","All the information was in the graph","Change the in universe year of Film to -2","2","I Knew the answer","Change the in universe year of Film to -2","2","I Knew the answer"
"10","2025/05/16 2:16:15 PM EEST","Accept","6","8","Change the height of the starship to 3000","9","I didn't know the answer","Change FILM_ID in the edge KILLED to 2","7","All the information was in the graph","Change FILM_ID in the edge KILLED to 4","7","All the information was in the graph","Change the year of death of Character to 4","7","All the information was in the graph","Change the in universe year of Film to -4","7","All the information was in the graph","Change the in universe year of Film to -4","7","All the information was in the graph"
